Date,Year,Month,Number_of_Trips,Number_of_Trips_by_Subscribers,Number_of_Trips_by_Customers,Number_of_Bikes,Number_of_Used_Stations,MAN,WOMAN,Unknown_Gender,
Jan-18,2018,1,718994,696886,22108,10449,768,537589,151806,29599,
Feb-18,2018,2,843114,809756,33358,10534,770,621749,181266,40099,
Mar-18,2018,3,976672,917637,59035,10935,771,702533,212687,61452,
Apr-18,2018,4,1307543,1158232,149311,11913,772,890184,293830,123529,
May-18,2018,5,1824710,1582116,242594,12335,778,1203816,421304,199590,
Jun-18,2018,6,1953103,1694788,258315,11889,776,1281908,469544,201651,
Jul-18,2018,7,1913625,1628746,284879,10672,785,1242546,460279,210800,
Aug-18,2018,8,1977177,1703456,273721,11561,780,1296312,475485,205380,
Sep-18,2018,9,1877884,1616731,261153,10892,784,1240964,463433,173487,
Oct-18,2018,10,1878657,1686256,192401,10887,778,1304230,448785,125642,
Nov-18,2018,11,1260355,1164813,95542,12228,769,902869,290368,67118,
Dec-18,2018,12,1016505,955408,61097,13046,768,746622,223675,46208,
Jan-19,2019,1,967287,927114,40173,12642,774,727130,206028,34129,
Feb-19,2019,2,943744,897393,46351,12620,771,703464,203512,36768,
Mar-19,2019,3,1327960,1221302,106658,13966,774,962603,293780,71577,
Apr-19,2019,4,1766094,1536661,229433,14457,791,1218551,409285,138258,
May-19,2019,5,1924563,1629997,294566,12896,804,1293779,462613,168171,
Jun-19,2019,6,2125370,1752526,372844,14319,806,1399108,527577,198685,
Jul-19,2019,7,2181064,1803055,378009,14356,801,1441107,543928,196029,
Aug-19,2019,8,2344224,1900359,443865,13983,808,1530272,588431,225521,
Sep-19,2019,9,2444900,2010493,434407,15875,820,1612056,626859,205985,
Oct-19,2019,10,2092573,1796820,295753,15872,848,1425934,512899,153740,
Nov-19,2019,11,1478708,1326216,152492,15536,877,1042505,351188,85015,
Dec-19,2019,12,955210,877585,77625,13816,882,695884,212896,46430,
Jan-20,2020,1,1240596,1145819,94777,13049,896,904522,279106,56968,
Feb-20,2020,2,1146830,1054927,91903,13218,894,833076,257077,56677,
Mar-20,2020,3,1068457,914068,154389,14882,899,722979,263862,81616,
Apr-20,2020,4,682762,516495,166267,14780,891,412624,191812,78326,
May-20,2020,5,1487890,1012059,475831,15003,934,817093,460580,210217,
Jun-20,2020,6,1882273,1306688,575585,15849,970,1044621,586361,251291,
Jul-20,2020,7,2105808,1530982,574826,17075,1007,1199865,633377,272566,
Aug-20,2020,8,2329514,1671914,657600,17835,1059,1330772,690802,307940,
Sep-20,2020,9,2488225,1817674,670551,18283,1112,1436049,746443,305733,
Oct-20,2020,10,2248869,1702115,546754,18472,1163,1335176,654838,258855,
Nov-20,2020,11,1736704,1362408,374296,18993,1161,1057855,496999,181850,
Dec-20,2020,12,1088929,920617,168312,16841,1184,703775,290616,94538,
